24-07-19 01:30:12.937 : Writing to ./results/denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:12.938 : Writing log file to denoising0.1_Omsi_1_rank_10_eta_1_beta_0.0001-0.005-linear_iteration_1000-2000_0-0_beta_0_lr_0.0005
24-07-19 01:30:22.143 : iteration: 158, psnr: 5.966830671282402, psnr_best: 5.970212557115263
24-07-19 01:30:22.173 : iteration: 159, psnr: 5.9721619829449555, psnr_best: 5.9721619829449555
24-07-19 01:30:22.198 : iteration: 160, psnr: 5.9620993546356384, psnr_best: 5.9721619829449555
24-07-19 01:30:22.226 : iteration: 161, psnr: 5.971983848265279, psnr_best: 5.9721619829449555
24-07-19 01:30:22.254 : iteration: 162, psnr: 5.9670369213342696, psnr_best: 5.9721619829449555
24-07-19 01:30:22.279 : iteration: 163, psnr: 5.968254461937539, psnr_best: 5.9721619829449555
24-07-19 01:30:22.307 : iteration: 164, psnr: 5.9752714296314595, psnr_best: 5.9752714296314595
24-07-19 01:30:22.331 : iteration: 165, psnr: 5.974595381572776, psnr_best: 5.9752714296314595
24-07-19 01:30:22.358 : iteration: 166, psnr: 5.973012528984652, psnr_best: 5.9752714296314595
24-07-19 01:30:22.386 : iteration: 167, psnr: 5.982444867433553, psnr_best: 5.982444867433553
24-07-19 01:30:22.410 : iteration: 168, psnr: 5.976505955289442, psnr_best: 5.982444867433553
24-07-19 01:30:22.432 : iteration: 169, psnr: 5.975638548186364, psnr_best: 5.982444867433553
24-07-19 01:30:22.468 : iteration: 170, psnr: 5.971976650472683, psnr_best: 5.982444867433553
24-07-19 01:30:22.505 : iteration: 171, psnr: 5.982174581315937, psnr_best: 5.982444867433553
24-07-19 01:30:22.531 : iteration: 172, psnr: 5.98008620398465, psnr_best: 5.982444867433553
24-07-19 01:30:22.559 : iteration: 173, psnr: 5.97712679378634, psnr_best: 5.982444867433553
24-07-19 01:30:22.583 : iteration: 174, psnr: 5.9819092270122685, psnr_best: 5.982444867433553
24-07-19 01:30:22.610 : iteration: 175, psnr: 5.97531461524167, psnr_best: 5.982444867433553
24-07-19 01:30:22.641 : iteration: 176, psnr: 5.988155788601741, psnr_best: 5.988155788601741
24-07-19 01:30:22.666 : iteration: 177, psnr: 5.9847639202875005, psnr_best: 5.988155788601741
24-07-19 01:30:22.697 : iteration: 178, psnr: 5.982678992637573, psnr_best: 5.988155788601741
24-07-19 01:30:22.724 : iteration: 179, psnr: 5.979989674825923, psnr_best: 5.988155788601741
24-07-19 01:30:22.751 : iteration: 180, psnr: 5.991121305746571, psnr_best: 5.991121305746571
24-07-19 01:30:22.777 : iteration: 181, psnr: 5.98202805297929, psnr_best: 5.991121305746571
24-07-19 01:30:22.804 : iteration: 182, psnr: 5.9857128209135055, psnr_best: 5.991121305746571
24-07-19 01:30:22.829 : iteration: 183, psnr: 5.989289479100264, psnr_best: 5.991121305746571
24-07-19 01:30:22.855 : iteration: 184, psnr: 5.989804472343366, psnr_best: 5.991121305746571
24-07-19 01:30:22.883 : iteration: 185, psnr: 5.991448086848694, psnr_best: 5.991448086848694
24-07-19 01:30:22.911 : iteration: 186, psnr: 5.995226999390932, psnr_best: 5.995226999390932
24-07-19 01:30:22.940 : iteration: 187, psnr: 5.993922861240218, psnr_best: 5.995226999390932
24-07-19 01:30:22.966 : iteration: 188, psnr: 5.990234394835477, psnr_best: 5.995226999390932
24-07-19 01:30:22.995 : iteration: 189, psnr: 5.998386052005668, psnr_best: 5.998386052005668
24-07-19 01:30:23.022 : iteration: 190, psnr: 5.995051252453512, psnr_best: 5.998386052005668
24-07-19 01:30:23.048 : iteration: 191, psnr: 5.995665478587, psnr_best: 5.998386052005668
24-07-19 01:30:23.075 : iteration: 192, psnr: 5.997996418023048, psnr_best: 5.998386052005668
24-07-19 01:30:23.102 : iteration: 193, psnr: 5.998828579538079, psnr_best: 5.998828579538079
24-07-19 01:30:23.130 : iteration: 194, psnr: 6.000157304330012, psnr_best: 6.000157304330012
24-07-19 01:30:23.155 : iteration: 195, psnr: 5.999530565001159, psnr_best: 6.000157304330012
24-07-19 01:30:23.183 : iteration: 196, psnr: 6.002538044131667, psnr_best: 6.002538044131667
24-07-19 01:30:23.214 : iteration: 197, psnr: 6.000678577829648, psnr_best: 6.002538044131667
24-07-19 01:30:23.242 : iteration: 198, psnr: 6.002196777892542, psnr_best: 6.002538044131667
